"ampr","ampr_nb","number"
เขตพระนคร,"01",2472
เขตดุสิต,"02",1503
เขตหนองจอก,"03",2275
เขตบางรัก,"04",1635
เขตบางเขน,"05",1438
เขตบางกะปิ,"06",1369
เขตปทุมวัน,"07",1676
เขตป้อมปราบศัตรูพ่าย,"08",115
เขตพระโขนง,"09",2005
เขตมีนบุรี,"10",5515
เขตลาดกระบัง,"11",17832
เขตยานนาวา,"12",2402
เขตสัมพันธวงศ์,"13",883
เขตพญาไท,"14",1251
เขตธนบุรี,"15",4162
เขตบางกอกใหญ่,"16",2790
เขตห้วยขวาง,"17",1655
เขตคลองสาน,"18",1322
เขตตลิ่งชัน,"19",3262
เขตบางกอกน้อย,"20",778
เขตบางขุนเทียน,"21",4451
เขตภาษีเจริญ,"22",2990
เขตหนองแขม,"23",6959
เขตราษฎร์บูรณะ,"24",4276
เขตบางพลัด,"25",436
เขตดินแดง,"26",1881
เขตบึงกุ่ม,"27",5619
เขตสาทร,"28",536
เขตบางซื่อ,"29",8551
เขตจตุจักร,"30",4940
เขตบางคอแหลม,"31",3545
เขตประเวศ,"32",1711
เขตคลองเตย,"33",3028
เขตสวนหลวง,"34",4793
เขตจอมทอง,"35",3074
เขตดอนเมือง,"36",2140
เขตราชเทวี,"37",327
เขตลาดพร้าว,"38",269
เขตวัฒนา,"39",1685
เขตบางแค,"40",5414
เขตหลักสี่,"41",8626
เขตสายไหม,"42",4025
เขตคันนายาว,"43",327
เขตสะพานสูง,"44",2520
เขตวังทองหลาง,"45",279
เขตคลองสามวา,"46",3334
เขตบางนา,"47",5591
เขตทวีวัฒนา,"48",2335
เขตทุ่งครุ,"49",4860
เขตบางบอน,"50",2461
